Index,time,vl,vr,hl,hr
0,0.0,0.0,0.0,0.0,0.0
1,10.0,475.0,564.0,551.0,609.0
2,20.0,400.0,479.0,468.0,385.0
3,30.0,327.0,421.0,415.0,341.0
4,40.0,430.0,464.0,435.0,153.0
5,50.0,375.0,427.0,404.0,322.0
6,60.0,387.0,448.0,427.0,362.0
7,70.0,323.0,412.0,400.0,326.0
8,80.0,439.0,466.0,433.0,180.0
9,90.0,377.0,430.0,401.0,323.0
10,100.0,388.0,448.0,428.0,361.0
11,110.0,324.0,406.0,397.0,326.0
12,120.0,385.0,448.0,423.0,355.0
13,130.0,368.0,422.0,400.0,336.0
14,140.0,387.0,445.0,427.0,365.0
15,150.0,368.0,417.0,400.0,384.0
16,160.0,387.0,447.0,427.0,359.0
17,170.0,369.0,422.0,400.0,336.0
18,180.0,341.0,439.0,429.0,367.0
19,190.0,401.0,435.0,410.0,129.0
20,200.0,393.0,449.0,430.0,343.0
21,210.0,370.0,422.0,400.0,336.0
22,220.0,339.0,434.0,425.0,362.0
23,230.0,417.0,439.0,405.0,167.0
24,240.0,394.0,450.0,430.0,351.0
25,250.0,368.0,420.0,397.0,336.0
26,260.0,341.0,435.0,419.0,361.0
27,270.0,368.0,419.0,397.0,327.0
28,280.0,388.0,448.0,422.0,363.0
29,290.0,369.0,418.0,397.0,336.0
30,300.0,384.0,439.0,420.0,403.0
31,310.0,368.0,416.0,397.0,332.0
32,320.0,385.0,441.0,419.0,362.0
33,330.0,325.0,405.0,395.0,336.0
34,340.0,423.0,456.0,430.0,144.0
35,350.0,373.0,419.0,400.0,314.0
36,360.0,387.0,443.0,422.0,361.0
37,370.0,320.0,403.0,398.0,336.0
38,380.0,438.0,461.0,432.0,179.0
39,390.0,372.0,421.0,400.0,321.0
40,400.0,386.0,442.0,423.0,362.0
41,410.0,320.0,399.0,396.0,333.0
42,420.0,384.0,445.0,421.0,355.0
43,430.0,368.0,417.0,396.0,333.0
44,440.0,385.0,440.0,422.0,362.0
45,450.0,367.0,412.0,393.0,381.0
46,460.0,384.0,441.0,421.0,366.0
47,470.0,367.0,414.0,397.0,336.0
48,480.0,340.0,432.0,422.0,363.0
49,490.0,400.0,432.0,403.0,127.0
50,500.0,390.0,444.0,429.0,347.0
51,510.0,368.0,415.0,400.0,333.0
52,520.0,337.0,432.0,425.0,358.0
53,530.0,415.0,434.0,406.0,164.0
54,540.0,394.0,447.0,429.0,350.0
55,550.0,368.0,419.0,399.0,336.0
56,560.0,337.0,432.0,423.0,359.0
57,570.0,367.0,421.0,397.0,323.0
58,580.0,388.0,443.0,429.0,362.0
59,590.0,368.0,417.0,400.0,335.0
60,600.0,387.0,443.0,425.0,401.0
61,610.0,368.0,417.0,398.0,336.0
62,620.0,387.0,442.0,426.0,364.0
63,630.0,323.0,406.0,399.0,336.0
64,640.0,417.0,455.0,432.0,127.0
65,650.0,371.0,420.0,400.0,320.0
66,660.0,387.0,444.0,429.0,363.0
67,670.0,321.0,403.0,400.0,335.0
68,680.0,439.0,464.0,434.0,179.0
69,690.0,373.0,422.0,402.0,322.0
70,700.0,388.0,444.0,427.0,359.0
71,710.0,320.0,402.0,397.0,331.0
72,720.0,386.0,448.0,425.0,362.0
73,730.0,368.0,417.0,397.0,334.0
74,740.0,387.0,443.0,423.0,356.0
75,750.0,368.0,414.0,395.0,393.0
76,760.0,388.0,444.0,427.0,367.0
77,770.0,368.0,421.0,399.0,336.0
78,780.0,344.0,436.0,428.0,363.0
79,790.0,402.0,434.0,403.0,132.0
80,800.0,391.0,448.0,432.0,351.0
81,810.0,369.0,416.0,397.0,335.0
82,820.0,340.0,434.0,426.0,363.0
83,830.0,417.0,433.0,405.0,165.0
